#tmauto-artifact 1
#map_uid buNzfsVlp2NF2oWtHM3729dEylg
#map_sha256 17cfebb228862cc4fe3d6cbb81c80d59e5f87bca9bafb5c2aa5e4136a10d145b
#container_ticks 4200
#prefix 153
#declared_ms 41800
#declared_cps 20900,41800
#template wobble7919 gas=on ticks=9000
#tape_sha256 09cf59fff006646b8ea56f2a3fb21e8782d7a027d0013cc62af1fb6219513dba
#file_sha256 fa0b9e6648d3de2bc4ec8c16de7d3db16156e0d22e6e5c868700548507f08bba
#producer tmauto optimize
#parent d059e58e4d562f8390ef96c08ea3977242148d554d82b3cedcca57efd7eccc26
#parent_path /var/svcscm/persistent/private-30d/tm-autopilot/C2-drive/bank-summer01/summer01-finish-36698.artifact.tsv
#cut n/a
#macro_steer n/a
#note (1+lambda) hill climb on finish time, plain oracle only, no memory readout; server-simulated finish 36.618 at the moment of banking
tick	steer	gas	brake	respawn
2174	-100	1	0	0
2175	-100	1	0	0
2176	-100	1	0	0
2177	-100	1	0	0
2178	-100	1	0	0
2179	-100	1	0	0
2180	-100	1	0	0
2181	-100	1	0	0
2182	-100	1	0	0
2183	-100	1	0	0
2184	-100	1	0	0
2185	-100	1	0	0
2186	-100	1	0	0
2187	-100	1	0	0
2188	-100	1	0	0
2189	-100	1	0	0
2190	-100	1	0	0
2191	-100	1	0	0
2192	-100	1	0	0
2193	-100	1	0	0
2194	-100	1	0	0
2195	-100	1	0	0
2196	-100	1	0	0
2197	-100	1	0	0
2198	-100	1	0	0
2199	-100	1	0	0
2200	-100	1	0	0
2201	-100	1	0	0
2202	-100	1	0	0
2203	-100	1	0	0
2204	-100	1	0	0
2205	-100	1	0	0
2206	-100	1	0	0
2207	-100	1	0	0
2208	-100	1	0	0
2209	-100	1	0	0
2210	-100	1	0	0
2211	-100	1	0	0
2212	-100	1	0	0
2213	-100	1	0	0
2214	-100	1	0	0
2215	-100	1	0	0
2216	-100	1	0	0
2217	-128	1	0	0
2218	-128	1	0	0
2219	-128	1	0	0
2220	-128	1	0	0
2221	-128	1	0	0
2222	-128	1	0	0
2223	-128	1	0	0
2224	-128	1	0	0
2225	-128	1	0	0
2226	-128	1	0	0
2227	-128	1	0	0
2228	-128	1	0	0
2229	-128	1	0	0
2230	-128	1	0	0
2231	-128	1	0	0
2232	-128	1	0	0
2233	-128	1	0	0
2234	-128	1	0	0
2235	-127	1	0	0
2236	-127	1	0	0
2237	-127	1	0	0
2238	-127	1	0	0
2239	-127	1	0	0
2240	-127	1	0	0
2241	-127	1	0	0
2242	-127	1	0	0
2243	-127	1	0	0
2244	-127	1	0	0
2245	-127	1	0	0
2246	-127	1	0	0
2247	-127	1	0	0
2248	-127	1	0	0
2249	-127	1	0	0
2250	-127	1	0	0
2251	-127	1	0	0
2252	-127	1	0	0
2253	-127	1	0	0
2254	-127	1	0	0
2255	-127	0	0	0
2256	-127	0	0	0
2257	-127	0	0	0
2258	-127	0	0	0
2259	-127	0	0	0
2260	-127	0	0	0
2261	-127	0	0	0
2262	-127	0	0	0
2263	-127	0	0	0
2264	-127	0	0	0
2265	127	0	0	0
2266	127	0	0	0
2267	127	0	0	0
2268	127	1	0	0
2269	127	1	0	0
2270	127	1	0	0
2271	127	1	0	0
2272	127	1	0	0
2273	127	1	0	0
2274	127	1	0	0
2275	127	1	0	0
2276	127	1	0	0
2277	0	1	0	0
2278	0	1	0	0
2279	0	1	0	0
2280	0	1	0	0
2281	0	1	0	0
2282	0	1	0	0
2283	0	1	0	0
2284	0	1	0	0
2285	0	1	0	0
2286	0	1	0	0
2287	0	1	0	0
2288	0	1	0	0
2289	0	1	0	0
2290	0	1	0	0
2291	0	1	0	0
2292	0	1	0	0
2293	0	1	0	0
2294	0	1	0	0
2295	0	1	0	0
2296	0	1	0	0
2297	0	1	0	0
2298	0	1	0	0
2299	38	1	0	0
2300	38	1	0	0
2301	38	1	0	0
2302	38	1	0	0
2303	38	1	0	0
2304	51	1	0	0
2305	51	1	0	0
2306	51	1	0	0
2307	51	1	0	0
2308	51	1	0	0
2309	51	1	0	0
2310	51	1	0	0
2311	51	1	0	0
2312	51	1	0	0
2313	51	1	0	0
2314	51	1	0	0
2315	51	1	0	0
2316	13	1	0	0
2317	13	1	0	0
2318	13	1	0	0
2319	13	1	0	0
2320	13	1	0	0
2321	13	1	0	0
