time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
10700,991.766,10.048,1115.68,351.403,97.612,-29.695,-0.734714,92.9826,-0.299108,-0.00194443,-0.0492416,-0.00270698,-0.148975,0.0244883,0.988534,5,70,-1,1,0,-0.518799,True,True,0,0.0705882,-0.00784314,-0.00784314,0.0705882
10750,990.386,10.049,1120.37,352.459,97.9052,-26.3051,-0.65084,94.303,-0.255932,-0.00194714,-0.0508947,-0.00228187,-0.1276,0.0253607,0.991499,5,70,-1,1,0,-0.518799,True,True,0,0.0705882,-0.00784314,-0.00784314,0.0705882
10800,989.206,10.05,1125.13,353.518,98.1994,-21.6822,-2.65531e-15,95.7758,-0.212772,-0.00144081,-0.0528972,-0.00209205,-0.106167,0.0263725,0.993996,5,71,-1,1,0,-0.518799,True,True,0,0.0705882,-0.00784314,-0.00784314,0.0862745
10850,988.23,10.05,1129.96,354.935,98.593,-18.1814,-0.449843,96.901,-0.16972,-0.000894901,-0.0547194,-0.00187299,-0.0847385,0.0272957,0.996028,5,71,-1,1,0,-0.518799,True,True,0,0.0705882,-0.00784314,-0.00784314,0.0862745
10900,987.459,10.051,1134.83,355.645,98.7904,-13.3952,-0.331424,97.8774,-0.126728,-0.0003951,-0.0559871,-0.00157529,-0.0633022,0.0279462,0.997602,5,71,-1,1,0,-0.549316,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
10950,986.896,10.052,1139.75,356.714,99.0872,-9.78547,-0.242112,98.6025,-0.083813,4.01882e-05,-0.0564717,-0.00120283,-0.041877,0.0282065,0.998724,5,71,-1,1,0,-0.549316,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
11000,986.543,10.052,1144.7,357.786,99.3849,-4.91345,-0.121569,99.2633,-0.0408661,0.000405409,-0.0560011,-0.000774605,-0.0204179,0.0279869,0.999399,5,71,-1,1,0,-0.549316,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
11050,986.403,10.051,1149.68,358.861,99.6835,-1.1697,-0.389679,99.6759,0.00201867,0.000726855,-0.0548939,-0.000335591,0.00101893,0.0274438,0.999623,5,72,-1,1,0,-0.549316,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0862745
11100,986.476,10.05,1154.67,359.939,99.983,4.94302,-0.1223,99.8606,0.0448734,0.00111808,-0.0535534,4.19571e-05,0.0224418,0.0267793,0.999389,5,72,-1,1,0,-0.549316,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
11150,986.764,10.05,1159.68,361.02,100.283,8.67162,0,99.9078,0.0878013,0.00151557,-0.0524262,0.000393473,0.0438913,0.026218,0.998692,5,72,-1,1,0,-0.549316,True,True,0,0.0862745,-0.00784314,-0.00784314,0.0705882
